Country,Year,FIFA Ranking,Number of Players,Average Market Value (in Million USD),Total Market Value (in Million USD),GDP,GNI
Spain,2009,1.0,365.0,4.4205000000000005,2835.0,1491472923706.64,1491472923706.64
Spain,2010,1.0,366.0,4.483499999999999,2877.0,1422108199783.34,1422108199783.34
Spain,2011,1.0,371.0,4.357500000000001,2919.0,1480710495710.12,1480710495710.12
Spain,2012,1.0,367.0,4.494000000000001,2887.5,1324750738725.0,1324750738725.0
Spain,2013,1.0,362.0,4.5255,2929.5,1355579535912.55,1355579535912.55
Spain,2014,9.0,415.0,5.1765,3286.5,1371820537888.62,1371820537888.62
Spain,2015,3.0,419.0,5.691,3643.5,1196156971279.69,1196156971279.69
Spain,2016,10.0,408.0,6.426,4242.0,1233554967011.68,1233554967011.68
Spain,2017,6.0,413.0,8.001000000000001,5386.5,1313245330197.65,1313245330197.65
Spain,2018,9.0,416.0,9.575999999999999,6489.0,1421702715218.04,1421702715218.04
Spain,2019,8.0,475.0,8.0955,5701.5,1394320055129.41,1394320055129.41
Spain,2020,6.0,520.0,7.476000000000001,5481.0,1278128867875.49,1278128867875.49
Spain,2021,7.0,535.0,7.014,5491.5,1445651653604.63,1445651653604.63
Spain,2022,10.0,498.0,7.2765,5523.0,1417800466262.65,1417800466262.65
Spain,2023,,496.0,7.6335,5911.5,1580694712515.71,1580694712515.71
Switzerland,2003,44.0,15.0,,,362075086507.76,362075086507.76
Switzerland,2004,51.0,20.0,0.5953499999999999,174.90900000000002,403912891033.374,403912891033.374
Switzerland,2005,35.0,27.0,0.60165,180.6,418284865884.998,418284865884.998
Switzerland,2006,17.0,25.0,0.53445,166.068,441634672196.523,441634672196.523
Switzerland,2007,44.0,26.0,0.61425,199.68900000000002,490740715594.802,490740715594.802
Switzerland,2008,24.0,27.0,0.59955,192.9375,567267767519.158,567267767519.158
Switzerland,2009,18.0,27.0,0.5984999999999999,201.18,554212916092.271,554212916092.271
Switzerland,2010,22.0,26.0,0.5848500000000001,187.6875,598851028906.58,598851028906.58
Switzerland,2011,17.0,25.0,0.72765,248.0625,715888126682.396,715888126682.396
Switzerland,2012,12.0,25.0,0.6919500000000001,229.005,686420221557.99,686420221557.99
Switzerland,2013,8.0,31.0,0.7287,254.394,706234937370.968,706234937370.968
Switzerland,2014,12.0,31.0,0.8095500000000001,261.345,726537808338.0,726537808338.0
Switzerland,2015,12.0,41.0,0.9555000000000001,322.9275,694118186379.628,694118186379.628
Switzerland,2016,11.0,40.0,0.8043,280.71750000000003,687895460902.713,687895460902.713
Switzerland,2017,8.0,40.0,0.9807000000000001,351.12,695200833086.499,695200833086.499
Switzerland,2018,8.0,33.0,1.02165,390.2325,725568717468.001,725568717468.001
Switzerland,2019,12.0,34.0,0.79695,306.73650000000004,721369112726.724,721369112726.724
Switzerland,2020,16.0,42.0,0.85995,305.13000000000005,741999406005.627,741999406005.627
Switzerland,2021,13.0,38.0,1.01535,391.96500000000003,813408787222.499,813408787222.499
Switzerland,2022,12.0,29.0,1.01955,377.4225,818426550206.45,818426550206.45
Switzerland,2023,,36.0,1.0710000000000002,501.3225,884940402230.409,884940402230.409
Turkey,2003,8.0,15.0,,,314595572145.767,314595572145.767
Turkey,2004,14.0,12.0,1.3125,776.1285,408865430220.331,408865430220.331
Turkey,2005,11.0,14.0,1.0227,658.8435000000001,506314717661.655,506314717661.655
Turkey,2006,26.0,9.0,1.3965,845.061,557076157773.479,557076157773.479
Turkey,2007,16.0,12.0,1.2915,856.3275,681321124295.914,681321124295.914
Turkey,2008,10.0,18.0,1.26,790.8915000000001,770449132861.373,770449132861.373
Turkey,2009,41.0,13.0,1.26,848.7675,649289324627.732,649289324627.732
Turkey,2010,31.0,12.0,1.4595,953.379,776967266305.53,776967266305.53
Turkey,2011,28.0,17.0,1.6695000000000002,1021.419,838785289694.35,838785289694.35
Turkey,2012,40.0,15.0,1.5750000000000002,1033.4415000000001,880555885492.269,880555885492.269
Turkey,2013,43.0,15.0,1.5645,1144.5,957799120008.32,957799120008.32
Turkey,2014,49.0,15.0,1.722,1071.0,938934609296.966,938934609296.966
Turkey,2015,21.0,16.0,1.7535,1176.0,864313810469.009,864313810469.009
Turkey,2016,24.0,17.0,1.302,894.894,869682881593.041,869682881593.041
Turkey,2017,42.0,17.0,1.1340000000000001,751.6215000000001,858988492853.742,858988492853.742
Turkey,2018,39.0,21.0,1.0710000000000002,773.3565,778972199727.859,778972199727.859
Turkey,2019,29.0,19.0,0.95235,681.0090000000001,761005946788.221,761005946788.221
Turkey,2020,32.0,23.0,1.1864999999999999,1011.8850000000001,720338498174.744,720338498174.744
Turkey,2021,37.0,21.0,1.3860000000000001,1144.5,819865253669.661,819865253669.661
Turkey,2022,,19.0,1.6065,1260.0,907118435952.688,907118435952.688
Turkey,2023,,16.0,1.533,1323.0,1108022373259.51,1108022373259.51
United States,2003,11.0,11.0,,,11456450000000.0,11456450000000.0
United States,2004,11.0,14.0,,,12217196000000.0,12217196000000.0
United States,2005,8.0,11.0,,,13039197000000.0,13039197000000.0
United States,2006,31.0,20.0,0.08085,37.642500000000005,13815583000000.0,13815583000000.0
United States,2007,19.0,17.0,0.22995000000000002,123.9315,14474228000000.0,14474228000000.0
United States,2008,22.0,13.0,0.2667,160.7865,14769862000000.0,14769862000000.0
United States,2009,14.0,17.0,0.2541,156.03,14478067000000.0,14478067000000.0
United States,2010,18.0,18.0,0.34335000000000004,188.055,15048971000000.0,15048971000000.0
United States,2011,34.0,19.0,0.3675,272.86350000000004,15599732000000.0,15599732000000.0
United States,2012,28.0,16.0,0.41475000000000006,306.63149999999996,16253970000000.0,16253970000000.0
United States,2013,14.0,15.0,0.39795,297.57,16880683000000.0,16880683000000.0
United States,2014,27.0,16.0,0.44205,283.1535,17608138000000.0,17608138000000.0
United States,2015,32.0,16.0,0.5397000000000001,378.588,18295019000000.0,18295019000000.0
United States,2016,28.0,15.0,0.5523,354.03900000000004,18804913000000.0,18804913000000.0
United States,2017,24.0,16.0,0.5628000000000001,461.769,19612102000000.0,19612102000000.0
United States,2018,25.0,22.0,0.72975,575.2215000000001,20656516000000.0,20656516000000.0
United States,2019,22.0,18.0,0.80745,652.869,21521395000000.0,21521395000000.0
United States,2020,22.0,19.0,0.9974999999999999,838.0050000000001,21322950000000.0,21322950000000.0
United States,2021,11.0,32.0,1.1130000000000002,916.545,23594031000000.0,23594031000000.0
United States,2022,13.0,26.0,1.302,1186.5,25744108000000.0,25744108000000.0
United States,2023,,27.0,1.3755000000000002,1365.0,27360935000000.0,27360935000000.0
