Country Name,Country Code,Indicator Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Other small states,OSS,"GNI per capita, Atlas method (current US$)",10997.02854,11475.75788,12230.61219,12737.76487,12664.67118,12285.85915,11933.76161,12121.78431,13339.78281,14181.40339,13084.02626,14080.151,15190.72704,15754.60738
Pakistan,PAK,"GNI per capita, Atlas method (current US$)",1020,1050,1140,1240,1280,1320,1400,1490,1610,1570,1420,1470,1570,1500
Panama,PAN,"GNI per capita, Atlas method (current US$)",7290,8590,9580,10670,11220,12240,12810,13770,14820,15340,12930,14930,17050,18010
Peru,PER,"GNI per capita, Atlas method (current US$)",4380,4930,5740,6360,6470,6290,6070,6030,6430,6770,5990,6440,6810,6990
Philippines,PHL,"GNI per capita, Atlas method (current US$)",2360,2500,2840,3140,3300,3350,3410,3480,3640,3770,3350,3550,3950,4230
Palau,PLW,"GNI per capita, Atlas method (current US$)",10100,10840,11180,11580,12680,14350,15040,15600,16170,16320,15180,13460,13570,14250
Papua New Guinea,PNG,"GNI per capita, Atlas method (current US$)",1670,1740,2160,2360,2810,2540,2430,2330,2330,2430,2420,2430,2700,2840
Poland,POL,"GNI per capita, Atlas method (current US$)",12670,12810,13090,13230,13470,13250,12660,12690,14180,15330,15300,16910,18960,19730
Pre-demographic dividend,PRE,"GNI per capita, Atlas method (current US$)",1317.081851,1364.804118,1524.030318,1654.974866,1748.527314,1640.09797,1461.892794,1314.721151,1340.779056,1418.272186,1356.232246,1393.676769,1468.57596,1463.630035
Puerto Rico,PRI,"GNI per capita, Atlas method (current US$)",16920,17670,18680,19170,19280,19420,19710,20000,21010,22040,21200,22580,24760,25240
"Korea, Dem. People's Rep.",PRK,"GNI per capita, Atlas method (current US$)",,,,,,,,,,,,,,
Portugal,PRT,"GNI per capita, Atlas method (current US$)",23030,22770,21170,21380,21200,20460,19940,20060,22060,23200,21850,23960,25950,26270
Paraguay,PRY,"GNI per capita, Atlas method (current US$)",4390,4820,5150,5950,6260,6090,5860,5800,6040,5940,5540,5730,5900,6200
West Bank and Gaza,PSE,"GNI per capita, Atlas method (current US$)",2510,2880,3210,3470,3560,3670,3900,3930,4190,4270,3700,4270,4720,4220
Pacific island small states,PSS,"GNI per capita, Atlas method (current US$)",2878.541745,3022.56729,3251.96924,3610.81235,3746.185886,3789.715937,3837.936426,3902.601393,4209.337018,4342.644887,3887.049487,3801.045517,4159.776197,4298.059141
Post-demographic dividend,PST,"GNI per capita, Atlas method (current US$)",40353.16424,41683.80411,42913.27467,43654.84033,43791.12849,42553.39119,41758.47009,42161.9529,45103.82248,46753.11648,45070.43697,49746.36744,52761.8199,53646.50918
French Polynesia,PYF,"GNI per capita, Atlas method (current US$)",,,,,,,,,,,,,,
Qatar,QAT,"GNI per capita, Atlas method (current US$)",68920,75540,83990,91130,89830,78040,66030,57190,59150,61750,58440,62400,70070,
Romania,ROU,"GNI per capita, Atlas method (current US$)",8710,9010,9200,9390,9760,9610,9460,10030,11520,12670,12710,14190,15490,16670
Russian Federation,RUS,"GNI per capita, Atlas method (current US$)",9980,11060,13470,15160,14590,11740,9680,9160,10180,11190,10660,11720,12810,14250
Rwanda,RWA,"GNI per capita, Atlas method (current US$)",590,640,690,710,720,730,730,720,770,810,760,840,930,980
South Asia,SAS,"GNI per capita, Atlas method (current US$)",1147.06194,1271.794544,1383.495771,1431.088825,1475.978763,1520.678037,1617.748131,1744.440499,1928.237075,2014.195062,1866.41819,2097.741302,2288.178269,2388.131069
Saudi Arabia,SAU,"GNI per capita, Atlas method (current US$)",17730,19930,23200,24700,25060,23530,21510,20220,22030,23260,22480,24140,27500,28690
Sudan,SDN,"GNI per capita, Atlas method (current US$)",1280,1300,1170,1110,1190,1240,1200,1060,860,760,630,650,760,990
Senegal,SEN,"GNI per capita, Atlas method (current US$)",1350,1320,1330,1360,1390,1330,1300,1300,1420,1460,1470,1560,1620,1660
Singapore,SGP,"GNI per capita, Atlas method (current US$)",44930,48250,51710,54470,56380,53160,53310,54920,56550,58810,55290,64970,66970,70590
Solomon Islands,SLB,"GNI per capita, Atlas method (current US$)",1580,1690,1840,2130,2160,2100,2110,2150,2320,2390,2340,2310,2290,2270
Sierra Leone,SLE,"GNI per capita, Atlas method (current US$)",420,440,460,650,680,550,540,520,510,520,490,510,600,560
El Salvador,SLV,"GNI per capita, Atlas method (current US$)",2910,3100,3250,3390,3450,3490,3570,3670,3900,4090,3760,4340,4670,4920
San Marino,SMR,"GNI per capita, Atlas method (current US$)",,,,,,,,39740,42250,44390,41450,47120,,
Somalia,SOM,"GNI per capita, Atlas method (current US$)",300,250,270,310,410,500,510,540,550,570,540,580,600,610
Serbia,SRB,"GNI per capita, Atlas method (current US$)",6220,6190,6080,6460,6240,5960,5700,5570,6410,7040,7440,8470,9300,10030
Sub-Saharan Africa (excluding high income),SSA,"GNI per capita, Atlas method (current US$)",1480.202393,1568.003973,1698.822994,1778.612109,1833.612528,1730.085017,1558.051879,1459.515756,1509.921512,1574.136274,1515.968241,1580.493719,1644.527086,1640.795824
South Sudan,SSD,"GNI per capita, Atlas method (current US$)",,770,800,1090,1170,1040,,,,,,,,
Sub-Saharan Africa,SSF,"GNI per capita, Atlas method (current US$)",1481.088287,1568.930254,1699.853168,1779.608089,1834.683752,1731.291153,1559.337443,1460.842175,1511.348343,1575.626905,1517.155341,1581.617436,1645.848839,1642.271365
Small states,SST,"GNI per capita, Atlas method (current US$)",9774.895574,10149.63779,10783.46296,11203.3052,11195.26956,10931.33784,10658.38475,10828.64653,11801.08462,12470.03633,11414.47618,12287.56985,13527.94324,14242.72736
Sao Tome and Principe,STP,"GNI per capita, Atlas method (current US$)",1090,1130,1170,1320,1430,1390,1420,1430,1660,1800,2010,2210,2420,2480
Suriname,SUR,"GNI per capita, Atlas method (current US$)",7380,7680,8290,8690,8990,8640,6740,5770,5790,6020,4500,4490,4970,5360
Slovak Republic,SVK,"GNI per capita, Atlas method (current US$)",17620,17590,17830,18270,18340,17760,16840,16670,18400,19200,19250,20650,22080,22790
Slovenia,SVN,"GNI per capita, Atlas method (current US$)",24620,24630,23260,23240,23620,22270,21790,22140,24650,26060,25480,28370,29590,30620
Sweden,SWE,"GNI per capita, Atlas method (current US$)",54630,56700,59090,61800,61870,58440,54390,53050,55700,56470,54810,60860,63900,61650
Eswatini,SWZ,"GNI per capita, Atlas method (current US$)",3350,3740,4190,4290,4020,3700,3370,3310,3550,3600,3370,3770,4400,3860
Sint Maarten (Dutch part),SXM,"GNI per capita, Atlas method (current US$)",,,,26830,28820,30780,34580,33280,31760,34690,29920,32320,36960,
Seychelles,SYC,"GNI per capita, Atlas method (current US$)",10160,11150,12540,12350,13340,14750,15630,16180,17620,18700,15400,14950,15000,16940
Syrian Arab Republic,SYR,"GNI per capita, Atlas method (current US$)",2500,2610,1990,1280,1080,910,760,730,820,980,780,560,,
Turks and Caicos Islands,TCA,"GNI per capita, Atlas method (current US$)",,,,,22050,23420,24990,24900,26600,26980,19060,21520,24300,26570
Chad,TCD,"GNI per capita, Atlas method (current US$)",910,890,960,970,970,880,730,640,670,690,660,660,680,710
East Asia & Pacific (IDA & IBRD countries),TEA,"GNI per capita, Atlas method (current US$)",3798.055655,4390.276953,5130.919863,5763.512757,6266.129448,6518.599522,6727.007275,7069.597441,7757.576787,8351.051555,8424.806457,9444.008406,10180.37548,10562.6145
Europe & Central Asia (IDA & IBRD countries),TEC,"GNI per capita, Atlas method (current US$)",7970.431397,8568.131847,9679.406646,10545.57781,10476.55204,9269.770801,8193.460406,7931.221288,8456.101238,8912.496783,8618.299046,9472.848829,10382.49823,11375.55636
Togo,TGO,"GNI per capita, Atlas method (current US$)",760,820,810,850,870,860,820,790,860,880,890,940,1000,1030
Thailand,THA,"GNI per capita, Atlas method (current US$)",4510,4860,5420,5610,5640,5580,5570,5820,6450,7080,6910,7100,7240,7180
Tajikistan,TJK,"GNI per capita, Atlas method (current US$)",910,1010,1140,1310,1340,1250,1110,1020,1020,1070,1050,1160,1390,1440
Turkmenistan,TKM,"GNI per capita, Atlas method (current US$)",3930,4560,5370,6280,6950,6790,6590,6160,6500,7130,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,"GNI per capita, Atlas method (current US$)",8106.061144,8936.181535,9877.462409,10295.63965,10178.89145,9175.6064,8408.854659,8281.265497,8608.902061,8701.723534,7605.513664,8086.604321,8700.841293,9438.29114
Timor-Leste,TLS,"GNI per capita, Atlas method (current US$)",2860,3730,3560,3190,2690,2180,1740,1800,1820,2420,2560,2390,1980,2140
Middle East & North Africa (IDA & IBRD countries),TMN,"GNI per capita, Atlas method (current US$)",3953.206504,4121.458588,4616.188451,4702.654365,4546.275314,4099.25176,3994.293389,3826.457492,3728.413978,3589.881419,3199.607602,3505.016011,3864.705718,3965.042878
Tonga,TON,"GNI per capita, Atlas method (current US$)",3270,3660,4130,4320,4350,4210,4220,4440,4710,5130,5190,4970,5000,
South Asia (IDA & IBRD),TSA,"GNI per capita, Atlas method (current US$)",1147.06194,1271.794544,1383.495771,1431.088825,1475.978763,1520.678037,1617.748131,1744.440499,1928.237075,2014.195062,1866.41819,2097.741302,2288.178269,2388.131069
Sub-Saharan Africa (IDA & IBRD countries),TSS,"GNI per capita, Atlas method (current US$)",1481.088287,1568.930254,1699.853168,1779.608089,1834.683752,1731.291153,1559.337443,1460.842175,1511.348343,1575.626905,1517.155341,1581.617436,1645.848839,1642.271365
Trinidad and Tobago,TTO,"GNI per capita, Atlas method (current US$)",15500,14090,16890,18860,19290,19170,16550,15640,15430,15740,13670,14850,16190,17940
Tunisia,TUN,"GNI per capita, Atlas method (current US$)",4090,4010,4190,4240,4250,4070,3870,3650,3650,3540,3230,3570,3810,3770
Turkiye,TUR,"GNI per capita, Atlas method (current US$)",10380,11190,11880,12570,12630,12080,11340,11090,10650,9800,9160,10010,10640,11650
Tuvalu,TUV,"GNI per capita, Atlas method (current US$)",4510,4760,4480,5650,4790,5690,5490,5350,6160,6650,6470,6830,7160,7550
Tanzania,TZA,"GNI per capita, Atlas method (current US$)",720,760,800,880,960,960,950,950,1000,1040,1050,1120,1200,1210
Uganda,UGA,"GNI per capita, Atlas method (current US$)",680,860,830,810,830,850,820,760,770,810,820,860,930,980
Ukraine,UKR,"GNI per capita, Atlas method (current US$)",3030,3150,3650,3950,3560,2800,2360,2360,2750,3310,3570,4110,4280,5070
Upper middle income,UMC,"GNI per capita, Atlas method (current US$)",5256.754268,5933.822985,6772.83776,7373.140655,7661.316324,7553.680896,7463.699056,7660.099417,8218.702697,8651.441153,8419.674279,9341.11671,10069.27732,10587.60629
Uruguay,URY,"GNI per capita, Atlas method (current US$)",10820,12600,14080,16310,16960,16900,16320,16550,17530,18230,16000,16080,17800,19530
United States,USA,"GNI per capita, Atlas method (current US$)",49190,50670,52690,53860,55670,56510,57060,59130,63360,66200,64690,71330,76590,80300
Uzbekistan,UZB,"GNI per capita, Atlas method (current US$)",1410,1730,2160,2430,2600,2740,2790,2470,2120,1880,1770,1980,2200,2360
St. Vincent and the Grenadines,VCT,"GNI per capita, Atlas method (current US$)",6350,6430,6760,7030,6900,7150,7510,7730,8340,8640,8320,8490,9440,10070
"Venezuela, RB",VEN,"GNI per capita, Atlas method (current US$)",11690,11890,12660,11950,13010,,,,,,,,,
British Virgin Islands,VGB,"GNI per capita, Atlas method (current US$)",,,,,,,,,,,,,,
Virgin Islands (U.S.),VIR,"GNI per capita, Atlas method (current US$)",,,,,,,,,,,,,,
Viet Nam,VNM,"GNI per capita, Atlas method (current US$)",1370,1630,1980,2200,2400,2480,2580,2720,3060,3340,3450,3590,4020,4180
Vanuatu,VUT,"GNI per capita, Atlas method (current US$)",2510,2710,2750,2930,2930,2770,2780,2860,3120,3590,3250,3350,3570,3660
World,WLD,"GNI per capita, Atlas method (current US$)",9403.811793,9887.478932,10468.914,10837.42833,10951.57858,10593.18869,10337.59002,10412.12532,11103.19858,11517.72006,11061.16283,12129.64268,12885.85642,13211.84617
Samoa,WSM,"GNI per capita, Atlas method (current US$)",3400,3540,3560,3720,3790,3930,4080,4050,4060,4230,4000,3830,3660,4020
Kosovo,XKX,"GNI per capita, Atlas method (current US$)",3120,3380,3540,3800,3910,3930,3930,3950,4300,4640,4440,5130,5600,5980
"Yemen, Rep.",YEM,"GNI per capita, Atlas method (current US$)",1130,1010,1180,1340,1370,1120,1060,970,820,,,,,
South Africa,ZAF,"GNI per capita, Atlas method (current US$)",6810,7700,8320,8050,7340,6550,5960,5950,6390,6740,6110,6540,6780,6750
Zambia,ZMB,"GNI per capita, Atlas method (current US$)",1330,1390,1660,1720,1760,1540,1340,1270,1400,1390,1130,1050,1170,1320
Zimbabwe,ZWE,"GNI per capita, Atlas method (current US$)",650,950,1120,1200,1210,1220,1200,1170,1550,1450,1460,1540,1720,1740
